SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Total	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
76	3	Kattegat Swedish Coastal waters	28	3	Circalittoral mud	4												4
77	3	Kattegat Danish Coastal waters, including Limfjorden	1	1	Biodiversity	12		3				1						8
77	3	Kattegat Danish Coastal waters, including Limfjorden	4	2	Fish	3		3										
77	3	Kattegat Danish Coastal waters, including Limfjorden	5	2	Pelagic habitat	1						1						
77	3	Kattegat Danish Coastal waters, including Limfjorden	6	2	Benthic habitat	8												8
77	3	Kattegat Danish Coastal waters, including Limfjorden	14	3	Coastal fish	2		2										
77	3	Kattegat Danish Coastal waters, including Limfjorden	16	3	Demersal shelf fish	1		1										
77	3	Kattegat Danish Coastal waters, including Limfjorden	17	3	Coastal pelagic habitats	1						1						
77	3	Kattegat Danish Coastal waters, including Limfjorden	28	3	Circalittoral mud	8												8
78	4	DEN-001  - M1 	1	1	Biodiversity	2						1						1
78	4	DEN-001  - M1 	5	2	Pelagic habitat	1						1						
78	4	DEN-001  - M1 	6	2	Benthic habitat	1												1
78	4	DEN-001  - M1 	17	3	Coastal pelagic habitats	1						1						
78	4	DEN-001  - M1 	28	3	Circalittoral mud	1												1
80	4	DEN-003  - M3 	1	1	Biodiversity	1						0						1
80	4	DEN-003  - M3 	5	2	Pelagic habitat	0						0						
80	4	DEN-003  - M3 	6	2	Benthic habitat	1												1
80	4	DEN-003  - M3 	17	3	Coastal pelagic habitats	0						0						
80	4	DEN-003  - M3 	28	3	Circalittoral mud	1												1
82	4	DEN-005  - O3 	1	1	Biodiversity	1						0						1
82	4	DEN-005  - O3 	5	2	Pelagic habitat	0						0						
82	4	DEN-005  - O3 	6	2	Benthic habitat	1												1
82	4	DEN-005  - O3 	17	3	Coastal pelagic habitats	0						0						
82	4	DEN-005  - O3 	28	3	Circalittoral mud	1												1
83	4	DEN-006  - O4 	1	1	Biodiversity	0						0						
83	4	DEN-006  - O4 	5	2	Pelagic habitat	0						0						
83	4	DEN-006  - O4 	17	3	Coastal pelagic habitats	0						0						
84	4	DEN-007  - OW2 	1	1	Biodiversity	1						0						1
84	4	DEN-007  - OW2 	5	2	Pelagic habitat	0						0						
84	4	DEN-007  - OW2 	6	2	Benthic habitat	1												1
84	4	DEN-007  - OW2 	17	3	Coastal pelagic habitats	0						0						
84	4	DEN-007  - OW2 	28	3	Circalittoral mud	1												1
86	4	DEN-009  - OW3b 	1	1	Biodiversity	1						0						1
86	4	DEN-009  - OW3b 	5	2	Pelagic habitat	0						0						
86	4	DEN-009  - OW3b 	6	2	Benthic habitat	1												1
86	4	DEN-009  - OW3b 	17	3	Coastal pelagic habitats	0						0						
86	4	DEN-009  - OW3b 	28	3	Circalittoral mud	1												1
87	4	DEN-010  - P1 	1	1	Biodiversity	1						0						1
87	4	DEN-010  - P1 	5	2	Pelagic habitat	0						0						
87	4	DEN-010  - P1 	6	2	Benthic habitat	1												1
87	4	DEN-010  - P1 	17	3	Coastal pelagic habitats	0						0						
87	4	DEN-010  - P1 	28	3	Circalittoral mud	1												1
89	4	DEN-012  - P3 	1	1	Biodiversity	1						0						1
89	4	DEN-012  - P3 	5	2	Pelagic habitat	0						0						
89	4	DEN-012  - P3 	6	2	Benthic habitat	1												1
89	4	DEN-012  - P3 	17	3	Coastal pelagic habitats	0						0						
89	4	DEN-012  - P3 	28	3	Circalittoral mud	1												1
90	4	DEN-013  - P4 	1	1	Biodiversity	1						0						1
90	4	DEN-013  - P4 	5	2	Pelagic habitat	0						0						
90	4	DEN-013  - P4 	6	2	Benthic habitat	1												1
90	4	DEN-013  - P4 	17	3	Coastal pelagic habitats	0						0						
90	4	DEN-013  - P4 	28	3	Circalittoral mud	1												1
91	4	DEN-014  - Slusefjord 	1	1	Biodiversity	1												1
91	4	DEN-014  - Slusefjord 	6	2	Benthic habitat	1												1
91	4	DEN-014  - Slusefjord 	28	3	Circalittoral mud	1												1
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	1	1	Biodiversity	13						4						9
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	5	2	Pelagic habitat	4						4						
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	6	2	Benthic habitat	9												9
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	17	3	Coastal pelagic habitats	4						4						
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	20	3	Infralittoral coarse sediment	7												7
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	28	3	Circalittoral mud	2												2
95	4	EST-004  - Pärnu lahe rannikuvesi 	1	1	Biodiversity	6						2						4
95	4	EST-004  - Pärnu lahe rannikuvesi 	5	2	Pelagic habitat	2						2						
95	4	EST-004  - Pärnu lahe rannikuvesi 	6	2	Benthic habitat	4												4
95	4	EST-004  - Pärnu lahe rannikuvesi 	17	3	Coastal pelagic habitats	2						2						
95	4	EST-004  - Pärnu lahe rannikuvesi 	20	3	Infralittoral coarse sediment	3												3
95	4	EST-004  - Pärnu lahe rannikuvesi 	28	3	Circalittoral mud	1												1
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	1	1	Biodiversity	26						7						19
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	5	2	Pelagic habitat	7						7						
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	6	2	Benthic habitat	19												19
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	17	3	Coastal pelagic habitats	7						7						
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	20	3	Infralittoral coarse sediment	15												15
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	28	3	Circalittoral mud	4												4
99	4	EST-008  - Liivi lahe rannikuvesi 	1	1	Biodiversity	7						2						5
99	4	EST-008  - Liivi lahe rannikuvesi 	5	2	Pelagic habitat	2						2						
99	4	EST-008  - Liivi lahe rannikuvesi 	6	2	Benthic habitat	5												5
99	4	EST-008  - Liivi lahe rannikuvesi 	17	3	Coastal pelagic habitats	2						2						
99	4	EST-008  - Liivi lahe rannikuvesi 	20	3	Infralittoral coarse sediment	4												4
