SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Conf	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
62	3	Bornholm Basin Swedish Coastal waters	4	2	Fish	0.7813		0.7813										
62	3	Bornholm Basin Swedish Coastal waters	5	2	Pelagic habitat	0.725						0.725						
62	3	Bornholm Basin Swedish Coastal waters	6	2	Benthic habitat	0.7375												0.7375
62	3	Bornholm Basin Swedish Coastal waters	14	3	Coastal fish	0.7813		0.7813										
62	3	Bornholm Basin Swedish Coastal waters	17	3	Coastal pelagic habitats	0.725						0.725						
62	3	Bornholm Basin Swedish Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
62	3	Bornholm Basin Swedish Coastal waters	28	3	Circalittoral mud	0.725												0.725
63	3	Bornholm Basin Polish Coastal waters	1	1	Biodiversity	0.7073						0.6646						0.75
63	3	Bornholm Basin Polish Coastal waters	5	2	Pelagic habitat	0.6646						0.6646						
63	3	Bornholm Basin Polish Coastal waters	6	2	Benthic habitat	0.75												0.75
63	3	Bornholm Basin Polish Coastal waters	17	3	Coastal pelagic habitats	0.6646						0.6646						
63	3	Bornholm Basin Polish Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
63	3	Bornholm Basin Polish Coastal waters	28	3	Circalittoral mud	0.75												0.75
64	3	Bornholm Basin Danish Coastal waters	1	1	Biodiversity	0.6875						0.625						0.75
64	3	Bornholm Basin Danish Coastal waters	5	2	Pelagic habitat	0.625						0.625						
64	3	Bornholm Basin Danish Coastal waters	6	2	Benthic habitat	0.75												0.75
64	3	Bornholm Basin Danish Coastal waters	17	3	Coastal pelagic habitats	0.625						0.625						
64	3	Bornholm Basin Danish Coastal waters	28	3	Circalittoral mud	0.75												0.75
65	3	Bornholm Basin German Coastal waters	1	1	Biodiversity	0.7362		0.7708				0.653						0.75
65	3	Bornholm Basin German Coastal waters	4	2	Fish	0.7708		0.7708										
65	3	Bornholm Basin German Coastal waters	5	2	Pelagic habitat	0.653						0.653						
65	3	Bornholm Basin German Coastal waters	6	2	Benthic habitat	0.75												0.75
65	3	Bornholm Basin German Coastal waters	14	3	Coastal fish	0.7917		0.7917										
65	3	Bornholm Basin German Coastal waters	16	3	Demersal shelf fish	0.75		0.75										
65	3	Bornholm Basin German Coastal waters	17	3	Coastal pelagic habitats	0.653						0.653						
65	3	Bornholm Basin German Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
65	3	Bornholm Basin German Coastal waters	28	3	Circalittoral mud	0.75												0.75
76	3	Kattegat Swedish Coastal waters	1	1	Biodiversity	0.7656		0.875				0.625						0.6875
76	3	Kattegat Swedish Coastal waters	4	2	Fish	0.875		0.875										
76	3	Kattegat Swedish Coastal waters	5	2	Pelagic habitat	0.625						0.625						
76	3	Kattegat Swedish Coastal waters	6	2	Benthic habitat	0.6875												0.6875
76	3	Kattegat Swedish Coastal waters	14	3	Coastal fish	0.875		0.875										
76	3	Kattegat Swedish Coastal waters	17	3	Coastal pelagic habitats	0.625						0.625						
76	3	Kattegat Swedish Coastal waters	20	3	Infralittoral coarse sediment	0.75												0.75
76	3	Kattegat Swedish Coastal waters	28	3	Circalittoral mud	0.625												0.625
77	3	Kattegat Danish Coastal waters, including Limfjorden	1	1	Biodiversity	0.7138		0.7812				0.625						0.6669
77	3	Kattegat Danish Coastal waters, including Limfjorden	4	2	Fish	0.7812		0.7812										
77	3	Kattegat Danish Coastal waters, including Limfjorden	5	2	Pelagic habitat	0.625						0.625						
77	3	Kattegat Danish Coastal waters, including Limfjorden	6	2	Benthic habitat	0.6669												0.6669
77	3	Kattegat Danish Coastal waters, including Limfjorden	14	3	Coastal fish	0.8125		0.8125										
77	3	Kattegat Danish Coastal waters, including Limfjorden	16	3	Demersal shelf fish	0.75		0.75										
77	3	Kattegat Danish Coastal waters, including Limfjorden	17	3	Coastal pelagic habitats	0.625						0.625						
77	3	Kattegat Danish Coastal waters, including Limfjorden	28	3	Circalittoral mud	0.6669												0.6669
78	4	DEN-001  - M1 	1	1	Biodiversity	0.625						0.625						0.625
78	4	DEN-001  - M1 	5	2	Pelagic habitat	0.625						0.625						
78	4	DEN-001  - M1 	6	2	Benthic habitat	0.625												0.625
78	4	DEN-001  - M1 	17	3	Coastal pelagic habitats	0.625						0.625						
78	4	DEN-001  - M1 	28	3	Circalittoral mud	0.625												0.625
80	4	DEN-003  - M3 	1	1	Biodiversity	0.625						0.625						0.625
80	4	DEN-003  - M3 	5	2	Pelagic habitat	0.625						0.625						
80	4	DEN-003  - M3 	6	2	Benthic habitat	0.625												0.625
80	4	DEN-003  - M3 	17	3	Coastal pelagic habitats	0.625						0.625						
80	4	DEN-003  - M3 	28	3	Circalittoral mud	0.625												0.625
82	4	DEN-005  - O3 	1	1	Biodiversity	0.625						0.625						0.625
82	4	DEN-005  - O3 	5	2	Pelagic habitat	0.625						0.625						
82	4	DEN-005  - O3 	6	2	Benthic habitat	0.625												0.625
82	4	DEN-005  - O3 	17	3	Coastal pelagic habitats	0.625						0.625						
82	4	DEN-005  - O3 	28	3	Circalittoral mud	0.625												0.625
83	4	DEN-006  - O4 	1	1	Biodiversity	0.625						0.625						
83	4	DEN-006  - O4 	5	2	Pelagic habitat	0.625						0.625						
83	4	DEN-006  - O4 	17	3	Coastal pelagic habitats	0.625						0.625						
84	4	DEN-007  - OW2 	1	1	Biodiversity	0.625						0.625						0.625
84	4	DEN-007  - OW2 	5	2	Pelagic habitat	0.625						0.625						
84	4	DEN-007  - OW2 	6	2	Benthic habitat	0.625												0.625
84	4	DEN-007  - OW2 	17	3	Coastal pelagic habitats	0.625						0.625						
84	4	DEN-007  - OW2 	28	3	Circalittoral mud	0.625												0.625
86	4	DEN-009  - OW3b 	1	1	Biodiversity	0.6875						0.625						0.75
86	4	DEN-009  - OW3b 	5	2	Pelagic habitat	0.625						0.625						
86	4	DEN-009  - OW3b 	6	2	Benthic habitat	0.75												0.75
86	4	DEN-009  - OW3b 	17	3	Coastal pelagic habitats	0.625						0.625						
86	4	DEN-009  - OW3b 	28	3	Circalittoral mud	0.75												0.75
87	4	DEN-010  - P1 	1	1	Biodiversity	0.625						0.625						0.625
87	4	DEN-010  - P1 	5	2	Pelagic habitat	0.625						0.625						
87	4	DEN-010  - P1 	6	2	Benthic habitat	0.625												0.625
87	4	DEN-010  - P1 	17	3	Coastal pelagic habitats	0.625						0.625						
87	4	DEN-010  - P1 	28	3	Circalittoral mud	0.625												0.625
89	4	DEN-012  - P3 	1	1	Biodiversity	0.6875						0.625						0.75
89	4	DEN-012  - P3 	5	2	Pelagic habitat	0.625						0.625						
89	4	DEN-012  - P3 	6	2	Benthic habitat	0.75												0.75
89	4	DEN-012  - P3 	17	3	Coastal pelagic habitats	0.625						0.625						
89	4	DEN-012  - P3 	28	3	Circalittoral mud	0.75												0.75
90	4	DEN-013  - P4 	1	1	Biodiversity	0.6875						0.625						0.75
90	4	DEN-013  - P4 	5	2	Pelagic habitat	0.625						0.625						
90	4	DEN-013  - P4 	6	2	Benthic habitat	0.75												0.75
90	4	DEN-013  - P4 	17	3	Coastal pelagic habitats	0.625						0.625						
90	4	DEN-013  - P4 	28	3	Circalittoral mud	0.75												0.75
91	4	DEN-014  - Slusefjord 	1	1	Biodiversity	0.75												0.75
91	4	DEN-014  - Slusefjord 	6	2	Benthic habitat	0.75												0.75
91	4	DEN-014  - Slusefjord 	28	3	Circalittoral mud	0.75												0.75
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	1	1	Biodiversity	0.7396						0.75						0.7292
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	5	2	Pelagic habitat	0.75						0.75						
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	6	2	Benthic habitat	0.7292												0.7292
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	17	3	Coastal pelagic habitats	0.75						0.75						
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	20	3	Infralittoral coarse sediment	0.7083												0.7083
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	28	3	Circalittoral mud	0.75												0.75
95	4	EST-004  - Pärnu lahe rannikuvesi 	1	1	Biodiversity	0.6667						0.6875						0.6458
95	4	EST-004  - Pärnu lahe rannikuvesi 	5	2	Pelagic habitat	0.6875						0.6875						
95	4	EST-004  - Pärnu lahe rannikuvesi 	6	2	Benthic habitat	0.6458												0.6458
95	4	EST-004  - Pärnu lahe rannikuvesi 	17	3	Coastal pelagic habitats	0.6875						0.6875						
95	4	EST-004  - Pärnu lahe rannikuvesi 	20	3	Infralittoral coarse sediment	0.6667												0.6667
95	4	EST-004  - Pärnu lahe rannikuvesi 	28	3	Circalittoral mud	0.625												0.625
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	1	1	Biodiversity	0.75						0.75						0.75
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	5	2	Pelagic habitat	0.75						0.75						
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	6	2	Benthic habitat	0.75												0.75
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	17	3	Coastal pelagic habitats	0.75						0.75						
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	20	3	Infralittoral coarse sediment	0.75												0.75
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	28	3	Circalittoral mud	0.75												0.75
99	4	EST-008  - Liivi lahe rannikuvesi 	1	1	Biodiversity	0.6797						0.6875						0.6719
99	4	EST-008  - Liivi lahe rannikuvesi 	5	2	Pelagic habitat	0.6875						0.6875						
99	4	EST-008  - Liivi lahe rannikuvesi 	6	2	Benthic habitat	0.6719												0.6719
99	4	EST-008  - Liivi lahe rannikuvesi 	17	3	Coastal pelagic habitats	0.6875						0.6875						
99	4	EST-008  - Liivi lahe rannikuvesi 	20	3	Infralittoral coarse sediment	0.7188												0.7188
99	4	EST-008  - Liivi lahe rannikuvesi 	28	3	Circalittoral mud	0.625												0.625
100	4	FIN-001  - Lounainen sisäsaaristo 	1	1	Biodiversity	0.75						0.75						0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	5	2	Pelagic habitat	0.75						0.75						
100	4	FIN-001  - Lounainen sisäsaaristo 	6	2	Benthic habitat	0.75												0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	17	3	Coastal pelagic habitats	0.75						0.75						
100	4	FIN-001  - Lounainen sisäsaaristo 	20	3	Infralittoral coarse sediment	0.75												0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	28	3	Circalittoral mud	0.75												0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	1	1	Biodiversity	0.75						0.75						0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	5	2	Pelagic habitat	0.75						0.75						
101	4	FIN-002  - Lounainen ulkosaaristo 	6	2	Benthic habitat	0.75												0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	17	3	Coastal pelagic habitats	0.75						0.75						
101	4	FIN-002  - Lounainen ulkosaaristo 	20	3	Infralittoral coarse sediment	0.75												0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	28	3	Circalittoral mud	0.75												0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	1	1	Biodiversity	0.75						0.75						0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	5	2	Pelagic habitat	0.75						0.75						
102	4	FIN-003  - Suomenlahden sisäsaaristo 	6	2	Benthic habitat	0.75												0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	17	3	Coastal pelagic habitats	0.75						0.75						
102	4	FIN-003  - Suomenlahden sisäsaaristo 	20	3	Infralittoral coarse sediment	0.75												0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	28	3	Circalittoral mud	0.75												0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	1	1	Biodiversity	0.75						0.75						0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	5	2	Pelagic habitat	0.75						0.75						
103	4	FIN-004  - Suomenlahden ulkosaaristo 	6	2	Benthic habitat	0.75												0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	17	3	Coastal pelagic habitats	0.75						0.75						
103	4	FIN-004  - Suomenlahden ulkosaaristo 	20	3	Infralittoral coarse sediment	0.75												0.75
