SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	Conf	Weight
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	1	0.625	0
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	1	0.75	0
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	1	0.625	1e-04
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
191	4	SWE-001  - 1s West Coast inner coastal water 	80	4	Phytoplankton - Coast	1	0.625	1e-04
191	4	SWE-001  - 1s West Coast inner coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.625	0
191	4	SWE-001  - 1s West Coast inner coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	0
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	80	4	Phytoplankton - Coast	2	0.625	2e-04
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	93	4	Macrofauna - Circalittoral mud	1	0.625	1e-04
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	1e-04
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	80	4	Phytoplankton - Coast	2	0.625	3e-04
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.625	1e-04
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	1e-04
195	4	SWE-006  - 7 Skåne coastal water 	80	4	Phytoplankton - Coast	1	0.75	2e-04
195	4	SWE-006  - 7 Skåne coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.75	1e-04
195	4	SWE-006  - 7 Skåne coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	1e-04
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	80	4	Phytoplankton - Coast	1	0.625	1e-04
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.625	0
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	0
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	80	4	Phytoplankton - Coast	1	0.75	2e-04
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.75	1e-04
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	1e-04
214	4	SWE-025  - 25 Göta and Nordre älv estuary	80	4	Phytoplankton - Coast	1	0.625	0
214	4	SWE-025  - 25 Göta and Nordre älv estuary	93	4	Macrofauna - Circalittoral mud	1	0.625	0
214	4	SWE-025  - 25 Göta and Nordre älv estuary	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
215	5	EE-1	80	4	Phytoplankton - Coast	2	0.75	3e-04
215	5	EE-1	93	4	Macrofauna - Circalittoral mud	1	0.75	1e-04
215	5	EE-1	95	4	Macrophytes - Infralittoral coarse sediment	4	0.6875	1e-04
216	5	EE-2	80	4	Phytoplankton - Coast	2	0.75	1e-04
216	5	EE-2	93	4	Macrofauna - Circalittoral mud	1	0.75	1e-04
216	5	EE-2	95	4	Macrophytes - Infralittoral coarse sediment	3	0.75	1e-04
217	5	EE-3	80	4	Phytoplankton - Coast	1	0.75	0
217	5	EE-3	93	4	Macrofauna - Circalittoral mud	1	0.75	0
217	5	EE-3	95	4	Macrophytes - Infralittoral coarse sediment	3	0.75	0
218	5	EE-4	80	4	Phytoplankton - Coast	2	0.75	1e-04
218	5	EE-4	93	4	Macrofauna - Circalittoral mud	1	0.75	0
218	5	EE-4	95	4	Macrophytes - Infralittoral coarse sediment	4	0.75	0
219	5	EE-5	80	4	Phytoplankton - Coast	2	0.75	1e-04
219	5	EE-5	93	4	Macrofauna - Circalittoral mud	1	0.75	1e-04
219	5	EE-5	95	4	Macrophytes - Infralittoral coarse sediment	4	0.75	1e-04
220	5	EE-6	80	4	Phytoplankton - Coast	2	0.75	1e-04
220	5	EE-6	93	4	Macrofauna - Circalittoral mud	1	0.75	1e-04
220	5	EE-6	95	4	Macrophytes - Infralittoral coarse sediment	4	0.75	1e-04
