SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	EQR	Weight	Conf
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	80	4	Phytoplankton - Coast	1	0.585	0	0.75
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	93	4	Macrofauna - Circalittoral mud	1	0.41	0	0.75
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.366	0	0.75
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	80	4	Phytoplankton - Coast	1	0	1e-04	0.625
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	93	4	Macrofauna - Circalittoral mud	1	0.23	0	0.75
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.5628	0	0.75
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	80	4	Phytoplankton - Coast	2	0.7045	0	0.6875
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	95	4	Macrophytes - Infralittoral coarse sediment	1	0.6	0	0.625
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	80	4	Phytoplankton - Coast	2	0.3204	0	0.6875
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	93	4	Macrofauna - Circalittoral mud	1	0.62	0	0.75
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.38	0	0.625
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	80	4	Phytoplankton - Coast	2	0.4987	1e-04	0.6875
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	93	4	Macrofauna - Circalittoral mud	1	0.64	0	0.75
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.4414	0	0.6875
162	4	LAT-005  - Gulf of Riga transitional waters 	80	4	Phytoplankton - Coast	2	0.3072	2e-04	0.6875
162	4	LAT-005  - Gulf of Riga transitional waters 	93	4	Macrofauna - Circalittoral mud	1	0.6571	1e-04	0.625
162	4	LAT-005  - Gulf of Riga transitional waters 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.52	1e-04	0.625
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	80	4	Phytoplankton - Coast	1	0.2876	1e-04	0.625
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	93	4	Macrofauna - Circalittoral mud	2	0.7012	1e-04	0.75
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.34	1e-04	0.75
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	80	4	Phytoplankton - Coast	0		0	0.75
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	93	4	Macrofauna - Circalittoral mud	1	1	0	0.75
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.3867	0	0.75
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	80	4	Phytoplankton - Coast	0		1e-04	0.625
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	93	4	Macrofauna - Circalittoral mud	1	1	0	0.75
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.24	0	0.75
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	0		1e-04	0.75
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	1	0	0.75
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.3911	0	0.75
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	0		0	0.625
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	1	0	0.75
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.4286	0	0.75
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	0		0	0.75
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	1	0	0.75
