SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
101	4	FIN-002  - Lounainen ulkosaaristo 	17	3	Coastal pelagic habitats	0.3116						0.3116						
101	4	FIN-002  - Lounainen ulkosaaristo 	20	3	Infralittoral coarse sediment	0.2095												0.2095
101	4	FIN-002  - Lounainen ulkosaaristo 	28	3	Circalittoral mud	0.5265												0.5265
102	4	FIN-003  - Suomenlahden sisäsaaristo 	1	1	Biodiversity	0.2934						0.2078						0.3791
102	4	FIN-003  - Suomenlahden sisäsaaristo 	5	2	Pelagic habitat	0.2078						0.2078						
102	4	FIN-003  - Suomenlahden sisäsaaristo 	6	2	Benthic habitat	0.3791												0.3791
102	4	FIN-003  - Suomenlahden sisäsaaristo 	17	3	Coastal pelagic habitats	0.2078						0.2078						
102	4	FIN-003  - Suomenlahden sisäsaaristo 	20	3	Infralittoral coarse sediment	0.303												0.303
102	4	FIN-003  - Suomenlahden sisäsaaristo 	28	3	Circalittoral mud	0.4552												0.4552
103	4	FIN-004  - Suomenlahden ulkosaaristo 	1	1	Biodiversity	0.2805						0.2112						0.3497
103	4	FIN-004  - Suomenlahden ulkosaaristo 	5	2	Pelagic habitat	0.2112						0.2112						
103	4	FIN-004  - Suomenlahden ulkosaaristo 	6	2	Benthic habitat	0.3497												0.3497
103	4	FIN-004  - Suomenlahden ulkosaaristo 	17	3	Coastal pelagic habitats	0.2112						0.2112						
103	4	FIN-004  - Suomenlahden ulkosaaristo 	20	3	Infralittoral coarse sediment	0.3661												0.3661
103	4	FIN-004  - Suomenlahden ulkosaaristo 	28	3	Circalittoral mud	0.3333												0.3333
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	1	1	Biodiversity	0.5477						0.4895						0.6059
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	5	2	Pelagic habitat	0.4895						0.4895						
