SAUID;IndicatorID;'Unit';IndType;Bad;ModGood;High;ModGood2;Bad2;Obs;StdErr;ConfA;ConfT;ConfS;ConfM
187;212;'mg/l';1;0;4.2;6;;;7.07;;0.5;1;0.5;1
195;214;'eqr';1;0;0.7;1;;;0.563;;0.5;1;0.5;1
196;214;'eqr';1;0;0.7;1;;;0.676;;0.5;1;0.5;1
197;214;'eqr';1;0;0.7;1;;;0.602;;0.5;1;0.5;1
126;214;'m';1;0;2.63;3.5;;;1.33;;0.5;1;0.5;1
129;214;'m';1;0;2.37;3.2;;;0.52;;0.5;1;0.5;1
130;214;'m';1;0;1.9;2.5;;;0.5;;0.5;1;0.5;1
131;214;'m';1;0;3.64;5;;;2.25;;0.5;1;0.5;1
132;214;'m';1;0;2.82;5;;;1.72;;0.5;1;0.5;1
133;214;'m';1;0;2.82;3.8;;;0.59;;0.5;1;0.5;1
170;214;'m';1;0.1;1.9;2.5;;;1.12;;0.5;1;0.5;1
175;214;'m';1;0;4.5;6;;;2.9;;0.5;1;0.5;1
177;214;'m';1;0;3.75;5;;;1.5;;0.5;1;0.5;1
181;214;'m';1;0;5.6;7.5;;;3.65;;0.5;1;0.5;1
183;214;'m';1;0;5.6;7.5;;;4;;0.5;1;0.5;1
186;214;'m';1;0.2;3.8;5;;;2.53;;0.5;1;0.5;1
187;214;'m';1;0;5.6;7.5;;;3.32;;0.5;1;0.5;1
126;127;'eqr';1;0;0.6;1;;;0.56;;0.5;1;0.5;1
130;127;'eqr';1;0;0.6;1;;;0.19;;0.5;1;0.5;1
131;127;'eqr';1;0;0.6;1;;;0.55;;0.5;1;0.5;1
132;127;'eqr';1;0;0.6;1;;;0.41;;0.5;1;0.5;1
133;127;'eqr';1;0;0.6;1;;;0.23;;0.5;1;0.5;1
170;127;'';1;1.91;2.7;3.72;;;2.91;;0.5;1;0.5;1
100;127;'';1;0.13;0.56;0.74;;;0.47;;0.5;1;0.5;1
101;127;'';1;0.13;0.62;0.74;;;0.56;;0.5;1;0.5;1
102;127;'';1;0.13;0.42;0.74;;;0.35;;0.5;1;0.5;1
103;127;'';1;0.12;0.57;0.65;;;0.37;;0.5;1;0.5;1
215;219;'m';1;0;5;10;;;6.21;;0.5;0;0.5;1
216;219;'m';1;0;5;10;;;9.38;;0.5;1;0.5;1
217;219;'m';1;0;7.5;15;;;7.6;;0.5;1;0.5;1
218;219;'m';1;0;7.5;15;;;8;;0.5;1;0.5;1
219;219;'m';1;0;7.5;15;;;9;;0.5;1;0.5;1
220;219;'m';1;0;7.5;15;;;6.6;;0.5;1;0.5;1
100;191;'mg/l';1;1.54;0.38;0.22;;;1.48;;0.5;1;0.5;1
101;191;'mg/l';1;1.22;0.31;0.17;;;0.84;;0.5;1;0.5;1
102;191;'mg/l';1;1.54;0.38;0.22;;;0.87;;0.5;1;0.5;1
103;191;'mg/l';1;1.54;0.38;0.22;;;1.11;;0.5;1;0.5;1
100;189;'µg/l';1;11;2.6;1.6;;;7.75;;0.5;1;0.5;1
101;189;'µg/l';1;8.5;1.9;1.1;;;4.4;;0.5;1;0.5;1
102;189;'µg/l';1;11.5;2.8;1.6;;;10.5;;0.5;1;0.5;1
103;189;'µg/l';1;8.3;2;1.2;;;6.2;;0.5;1;0.5;1
215;189;'mg/m3';1;15.2;3.7;2.5;;;4.34;;0.5;1;0.5;1
216;189;'mg/m3';1;15.2;3.7;2.5;;;4.01;;0.5;1;0.5;1
217;189;'mg/m3';1;10.9;2.7;1.8;;;4.95;;0.5;1;0.5;1
218;189;'mg/m3';1;10.9;2.7;1.8;;;4.01;;0.5;1;0.5;1
219;189;'mg/m3';1;10.9;2.7;1.8;;;3.96;;0.5;1;0.5;1
220;189;'mg/m3';1;10.9;2.7;1.8;;;3.29;;0.5;1;0.5;1
215;199;'m';1;0;2.5;5;;;2.125;;0.5;1;0.5;1
216;199;'m';1;0;2.5;5;;;4.72;;0.5;1;0.5;1
217;199;'m';1;0;3.5;7;;;5.66666666666667;;0.5;1;0.5;1
218;199;'m';1;0;3.5;7;;;5.5;;0.5;1;0.5;1
219;199;'m';1;0;3.5;7;;;4.79833333333333;;0.5;1;0.5;1
220;199;'m';1;0;3.5;7;;;2.72;;0.5;1;0.5;1
100;214;'m';1;2;5;6;;;1.9;;0.5;1;0.5;1
101;214;'m';1;0.4;7;9;;;3.28;;0.5;1;0.5;1
102;214;'m';1;1.5;4.5;5.5;;;3.55;;0.5;1;0.5;1
103;214;'m';1;1;6;7;;;3.68;;0.5;1;0.5;1
100;214;'m';1;0.8;4;4.4;;;1.5;;0.5;1;0.5;1
101;214;'m';1;0;6.5;7.5;;;2;;0.5;1;0.5;1
102;214;'m';1;0.6;3.5;4.5;;;2.5;;0.5;1;0.5;1
